#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
7.200000000000739,-38208.58841513898,-27645.02772747224,294.09822257926794,25.34935168660006,1.13553329721314
7.3000000000007725,-38318.063865089454,-27681.56964632386,296.1287521039997,25.29734511073904,1.1378677397526915
7.400000000000806,-38284.95464678586,-27695.188938554304,294.8277919165997,25.463945557494228,1.1304231246453003
7.500000000000839,-38538.98443364627,-27982.211733216576,293.9092394285736,25.78130095054797,1.1165081606282798
7.600000000000873,-38380.97821525613,-27925.06900064028,291.10111698027515,25.87391927692801,1.112511506077407
7.700000000000906,-38342.9298985671,-27946.725505555914,289.43888561411796,25.977915928524396,1.1080578204232987
7.8000000000009395,-38379.57685207518,-27844.199019200896,293.3135887094263,26.089340206744904,1.10332544536556
7.900000000000973,-38393.42079565284,-27883.17683841971,292.6138409282429,26.41616069762672,1.0896751133667406
8.000000000001005,-38451.8295963935,-27786.072875025915,296.94344425732965,26.57302221457935,1.0832427215263252
8.10000000000095,-38282.20816020536,-27571.368279598177,298.198596510689,26.659263207911824,1.0797385013385417
8.200000000000895,-37967.86273225684,-27669.06952410991,286.72687806524624,26.806533284689024,1.073806620095164
8.30000000000084,-38020.76729377786,-27491.392116135303,293.14646984803073,26.805133183006507,1.0738627078021425
8.400000000000784,-38074.15658361631,-27327.348128043846,299.1999912372181,27.176788550714214,1.0591771301154698
8.500000000000728,-37843.68673256738,-27348.617433396576,292.1913659601585,27.153566120905403,1.0600829657044188
8.600000000000673,-37928.00940432473,-27496.068780449947,290.43381168965385,27.296299287918327,1.0545397601073725
8.700000000000617,-38007.17252579185,-27402.041093356405,295.2555863232986,27.559084774984473,1.0444843556281218
8.800000000000562,-38036.25738152272,-27308.10621797815,298.6805568735804,27.716959096578606,1.0385350284134767
8.900000000000507,-37935.732899127215,-27298.52259230636,296.1486885847461,27.90074237374935,1.0316941577147092
9.000000000000451,-37862.90247215995,-27328.456452067374,293.28764627477005,27.900348203620503,1.031708733268251
9.100000000000396,-37772.001762951186,-27088.227581250525,297.445065180049,28.001943816780102,1.0279655259379195
9.20000000000034,-37478.27902080765,-26884.939614965457,294.92728659897057,28.04807038344733,1.026274981108434
9.300000000000285,-37613.15101492674,-26871.346458398846,299.06067856997583,28.138997349742546,1.0229587268205846
9.40000000000023,-37825.39913594297,-26813.995926776006,306.5665269193385,28.058449222953627,1.0258953612928976
9.500000000000174,-37461.43305492533,-26834.373872762317,295.8660729206416,28.216017649465325,1.0201663913208494
9.600000000000119,-37326.49617173737,-26686.276162218885,296.2324811846124,28.498897916506344,1.0100402123349606
9.700000000000063,-37376.22282684629,-26637.23895765385,298.98214831333826,28.461859400558687,1.011354616639537
